Carne asada,Platos Preparados,109,19.9,1.2,2.7,0.0,0.0,388.0,g,100,0
Carne arvejada,Platos Preparados,30,1.5,4.5,0.7,0.0,0.0,35.0,g,100,0
Cebolla en escabeche,Platos Preparados,151,23.8,0.6,5.9,0.0,0.0,385.0,g,100,0
Cerdo a la mostaza,Platos Preparados,22,0.3,3.5,0.8,0.0,0.0,361.0,g,100,0
Crema de cebolla,Platos Preparados,90,3.3,10.3,4.0,0.0,0.0,339.0,g,100,0
Manzana asada,Platos Preparados,96,1.1,20.2,1.2,0.0,0.0,29.0,g,100,0
Puré de manzana,Platos Preparados,50,0.2,12.0,0.1,1.1,0.0,0.0,g,100,0
Puré manzana plátano,Platos Preparados,58,0.4,13.8,0.1,1.4,0.0,0.0,g,100,0
Puré pera con canela,Platos Preparados,64,0.0,15.8,0.1,3.3,0.0,35.0,g,100,0
Mariscal,Platos Preparados,87,12.2,3.2,2.8,1.0,0.9,216.0,g,100,0
Pollo a la mostaza,Platos Preparados,121,21.8,2.5,2.7,0.0,0.0,358.0,g,100,0
Sopa de sémola,Platos Preparados,16,0.6,2.7,0.3,0.0,0.0,268.0,ml,100,0
Tomate con papas,Platos Preparados,55,2.3,10.3,0.5,0.0,0.0,17.0,g,100,0
Torta de durazno con crema,Platos Preparados,226,5.3,35.0,7.2,0.0,0.0,51.0,g,100,0
Verduras guisadas,Platos Preparados,54,2.0,5.8,2.5,0.0,0.0,369.0,g,100,0